feature 2;cg12045430;WASH5P
feature 171804;cg01669948;KCNK16
feature 171815;cg02567751;KIF6
feature 24357;cg18221467;GFI1
feature 401184;cg13241663;null
feature 286498;cg12712076;GANAB
feature 319275;cg01290565;CUX2
feature 483127;cg09517019;ARHGEF6
feature 57139;cg22827063;null
feature 253749;cg01088382;null
feature 302898;cg17038626;CACNA1C
feature 73529;cg08138586;PARD3B
feature 89912;cg10691387;IQCF2
feature 433976;cg20555481;MRI1
feature 253756;cg06550984;PTF1A
feature 237383;cg14457907;RHPN1
feature 417601;cg23018755;MAFG
feature 401229;cg21870038;RFFL
feature 368459;cg19620752;IGF1R
feature 401236;cg10863207;RFFL
feature 450389;cg14222245;A1BG
feature 204631;cg14100946;CDK6
feature 417619;cg02009311;MAFG-AS1
feature 139095;cg20555040;null
feature 24409;cg02228635;RPL5
feature 434012;cg25718223;ZSWIM4
feature 270168;cg07367735;MGMT
feature 368472;cg20388729;IGF1R
feature 450395;cg22568540;A1BG-AS1
feature 466777;cg23469117;YDJC
feature 434009;cg10546977;ZSWIM4
feature 89953;cg25499397;GPR62
feature 40800;cg20426881;null
feature 221026;cg12940923;MSRA
feature 122720;cg26621699;HHIP
feature 319334;cg26875655;CUX2
feature 270183;cg09607482;null
feature 171878;cg08864240;MOCS1
feature 270190;cg01079118;null
feature 237423;cg24415118;null
feature 57197;cg03564880;ETAA1
feature 221037;cg21997510;null
feature 73584;cg04398171;null
feature 188272;cg22336162;null
feature 368503;cg16918683;IGF1R
feature 57204;cg11938832;null
feature 384883;cg06124295;TXNL4B
feature 237433;cg21925025;null
feature 171896;cg18011032;null
feature 401284;cg24956176;null
feature 319362;cg25640615;FAM109A
feature 466830;cg20147335;PPIL2
feature 483214;cg27350602;null
feature 319373;cg23098621;FAM109A
feature 434061;cg16005540;null
feature 57229;cg21342994;null
feature 8078;cg19283112;PRDM2
feature 417687;cg12983578;null
feature 106395;cg16053281;NRROS
feature 352159;cg17275781;null
feature 417693;cg08574915;null
feature 466844;cg02350785;YPEL1
feature 335779;cg18120564;COL4A1
feature 40871;cg03739354;null
feature 221092;cg26101170;RP1L1
feature 8105;cg10444683;PRDM2
feature 171950;cg14407494;LRFN2
feature 286634;cg04056542;HNRNPUL2
feature 303030;cg15339981;NRIP2
feature 188337;cg27487860;null
feature 73655;cg19618438;null
feature 204730;cg11058951;HEPACAM2
feature 270270;cg23030676;EBF3
feature 171961;cg00648274;null
feature 434109;cg10165008;PODNL1
feature 188348;cg02820566;null
feature 450488;cg11618529;ZNF132
feature 57278;cg21581504;CNRIP1
feature 57280;cg06275642;CNRIP1
feature 90050;cg22690884;LINC00696
feature 483265;cg20271300;FGF13
feature 417742;cg09925620;ASPSCR1
feature 270284;cg10424229;EBF3
feature 90056;cg19774788;null
feature 237514;cg00952822;ZC3H3
feature 204746;cg00930979;VPS50
feature 401354;cg18587557;SLFN12
feature 139214;cg15401332;null
feature 188368;cg05968904;FAM20C
feature 270295;cg04989813;EBF3
feature 188374;cg26983907;FAM20C
feature 122839;cg01022871;null
feature 466896;cg01052666;PPM1F
feature 155608;cg00955808;CASC15
feature 434138;cg20739396;DCAF15
feature 139230;cg02288001;EPB41L4A-AS1
feature 368600;cg09576762;null
feature 270299;cg04043455;EBF3
feature 40928;cg20613400;FLVCR1-AS1
feature 303077;cg27279674;TULP3
feature 335840;cg00145419;COL4A2
feature 237547;cg24561207;ZC3H3
feature 237544;cg25900150;ZC3H3
feature 204783;cg21756194;CALCR
feature 368619;cg08828594;null
feature 139244;cg14798584;EPB41L4A
feature 237549;cg04040861;ZC3H3
feature 237554;cg04268373;ZC3H3
feature 90100;cg21578541;TLR9
feature 90102;cg11855705;TLR9
feature 401406;cg21390082;SLFN12L
feature 483326;cg21557231;MCF2
feature 417786;cg15578811;STRA13
feature 335864;cg00994389;COL4A2
feature 270341;cg13696436;EBF3
feature 270342;cg00179795;EBF3
feature 253952;cg23805357;GPR158-AS1
feature 450562;cg25458175;ZBTB45
feature 172037;cg20398880;NFYA
feature 286723;cg05925507;NXF1
feature 352269;cg11989422;TRMT61A
feature 352266;cg14204600;TRMT61A
feature 466967;cg20361154;ZNF280B
feature 303125;cg09286981;TSPAN9
feature 221201;cg25398727;XKR6
feature 368662;cg18083415;SYNM
feature 237595;cg06043315;GSDMD
feature 303133;cg07303577;TSPAN9
feature 303134;cg07248242;TSPAN9
feature 368670;cg11391789;SYNM
feature 253987;cg01303032;null
feature 40997;cg23268653;RPS6KC1
feature 139307;cg12534150;APC
feature 221229;cg18339098;XKR6
feature 417847;cg17998822;GPS1
feature 8242;cg00577560;null
feature 335927;cg12434735;COL4A2
feature 73778;cg12110911;LOC200726
feature 335921;cg24995674;COL4A2
feature 237621;cg07113414;MROH6
feature 73783;cg12848065;LOC200726
feature 270386;cg05186311;EBF3
feature 221236;cg16232071;XKR6
feature 73784;cg15579926;LOC200726
feature 335935;cg07771477;COL4A2
feature 417850;cg25685996;DUS1L
feature 24636;cg01807748;ABCA4
feature 41020;cg14731422;null
feature 303173;cg10824503;TSPAN9
feature 401476;cg24149295;RASL10B
feature 57410;cg09157127;GKN1
feature 155712;cg26740341;null
feature 24643;cg01437135;ABCA4
feature 139329;cg01255486;SRP19
feature 204871;cg18928221;null
feature 335937;cg14059959;COL4A2
feature 352323;cg06955998;KLC1
feature 155716;cg12975597;null
feature 90183;cg16486432;DNAH1
feature 139342;cg23463917;REEP5
feature 221263;cg27534424;XKR6
feature 41036;cg00852051;null
feature 188497;cg02152290;PDGFA
feature 106578;cg17208748;null
feature 122967;cg02610222;POU4F2
feature 401489;cg25309759;RASL10B
feature 368733;cg20536921;null
feature 90200;cg05908979;BAP1
feature 122971;cg19134568;POU4F2
feature 352344;cg07110232;XRCC3
feature 352358;cg00845775;XRCC3
feature 41059;cg00795024;null
feature 24678;cg22225673;null
feature 450657;cg05007985;MZF1
feature 41063;cg01631319;null
feature 368751;cg13602438;MEF2A
feature 286830;cg26330416;null
feature 90218;cg03550765;SEMA3G
feature 417898;cg20482334;FASN
feature 352363;cg19828748;XRCC3
feature 24686;cg14097568;null
feature 139372;cg24094897;MCC
feature 41071;cg01019971;null
feature 385130;ch.16.72302375R;null
feature 335989;cg00023464;NAXD
feature 8305;cg25975626;TMEM51
feature 41076;cg10827893;PROX1
feature 270448;cg26015743;null
feature 172150;cg02404974;null
feature 73845;cg19361800;KLF7
feature 41078;cg06694137;PROX1
feature 254068;cg27009114;LINC00264
feature 41081;cg04976324;PROX1
feature 467070;cg25555137;BCR
feature 172158;cg02629070;null
feature 270458;cg06140859;null
feature 286854;cg16146033;SLC22A8
feature 319617;cg04735442;RPL6
feature 270465;cg17624196;null
feature 352387;cg03509898;ZFYVE21
feature 90246;cg05654278;NISCH
feature 90255;cg26065870;NISCH
feature 172176;cg14732815;null
feature 24723;cg09549015;F3
feature 467091;cg04435377;null
feature 188566;cg01023504;PRKAR1B
feature 90264;cg10061138;STAB1
feature 221337;cg25447652;TDH
feature 352415;cg01653080;PPP1R13B
feature 434333;cg19031047;null
feature 139422;cg06512849;MCC
feature 352411;cg22934449;ZFYVE21
feature 303258;cg06029846;PRMT8
feature 155810;cg02346062;GPLD1
feature 336032;cg10287482;NAXD
feature 123046;cg27219598;TMEM184C
feature 41131;cg22796363;SMYD2
feature 24747;cg26660461;null
feature 8368;cg09252331;FHAD1
feature 352438;cg00662002;PPP1R13B
feature 434354;cg16738984;ADGRE5
feature 450739;cg08888491;ZCCHC3
feature 434352;cg18327855;ADGRE5
feature 139445;cg14990644;TSSK1B
feature 90299;cg25934064;NT5DC2
feature 401597;cg24095850;null
feature 336069;cg26090534;CARS2
feature 467141;cg00489795;GUSBP11
feature 450754;cg02203542;SOX12
feature 221383;cg09528494;null
feature 483520;cg12842316;SLITRK4
feature 24776;cg14981637;SLC44A3
feature 73928;cg19997502;null
feature 352456;cg02947125;null
feature 73943;cg02222234;CCNYL1
feature 483537;cg17749360;null
feature 385245;cg26626185;FA2H
feature 123099;cg04074001;ARHGAP10
feature 270553;cg16072535;null
feature 368871;cg26768318;ADAMTS17
feature 139489;cg05495546;null
feature 270560;cg04847825;null
feature 221415;cg08711378;null
feature 336096;cg15270851;CARS2
feature 123110;cg02131155;ARHGAP10
feature 336109;cg16967820;ING1
feature 205035;cg06999014;PEG10
feature 483565;cg14381673;SLITRK2
feature 221416;cg08911368;null
feature 221422;cg25651129;null
feature 319723;cg04456029;DTX1
feature 418036;cg23664708;SLC16A3
feature 319728;cg16611278;DTX1
feature 319731;cg27664496;DTX1
feature 221434;cg21069005;null
feature 57597;cg02468821;GMCL1
feature 221438;cg07556789;null
feature 188675;cg19877741;PRKAR1B
feature 172288;cg09324663;MDFI
feature 303362;cg15988261;null
feature 270595;cg06996389;null
feature 336140;cg11963658;null
feature 139529;cg04996277;KCNN2
feature 270600;cg18601466;null
feature 139532;cg11204913;KCNN2
feature 385302;cg05800339;ZNRF1
feature 336144;cg19937499;null
feature 172309;cg23616309;TFEB
feature 123161;cg25643208;null
feature 24856;cg05043032;TMEM56
feature 352540;cg09185829;null
feature 188699;cg01783730;PRKAR1B
feature 483612;cg22625568;FMR1-AS1
feature 221464;cg16441259;null
feature 467227;cg18132256;null
feature 90398;cg25796963;ITIH3
feature 8480;cg17177755;null
feature 24864;cg17104959;null
feature 41249;cg22428858;null
feature 352557;cg19992808;KIF26A
feature 188713;cg10385101;PRKAR1B
feature 172338;cg05104447;FRS3
feature 123185;cg08392212;DCLK2
feature 139570;cg09463882;TRIM36
feature 434487;cg16860821;TECR
feature 221488;cg16803596;GATA4
feature 74034;cg25356886;CRYGD
feature 41271;cg18794839;KCNK2
feature 237886;cg22032812;null
feature 434488;cg21511523;TECR
feature 237891;cg08053370;null
feature 139584;cg11022944;PGGT1B
feature 401730;cg24364908;null
feature 139588;cg23027345;PGGT1B
feature 188744;cg27418434;PRKAR1B
feature 8522;cg03478588;PLEKHM2
feature 8523;cg15575196;PLEKHM2
feature 303439;cg18584387;CCND2
feature 123212;cg14266527;LRBA
feature 336203;cg06540715;ANKRD10
feature 139596;cg23403750;CCDC112
feature 368970;cg05384413;LINS1
feature 188755;cg13577076;PRKAR1B
feature 221522;cg06707765;GATA4
feature 90451;cg18571112;SFMBT1
feature 237909;cg17198369;SCRIB
feature 303442;cg01093885;CCND2
feature 123223;cg02075410;LRBA
feature 57687;cg14811806;null
feature 401758;cg13261938;MRM1
feature 368988;cg09642408;null
feature 123226;cg01012445;LRBA
feature 74074;cg08093097;C2orf80
feature 106844;cg00144335;ZNF718
feature 385368;cg09121928;BCAR1
feature 352602;cg14468513;KIF26A
feature 352615;cg10357473;KIF26A
feature 368999;cg23999833;null
feature 74083;cg24324379;IDH1
feature 450914;cg11971771;null
feature 352609;cg03575199;KIF26A
feature 385376;cg09930192;BCAR1
feature 237924;cg26400491;SCRIB
feature 270703;cg06938601;TCERG1L
feature 8558;cg00296458;TMEM82
feature 106862;cg18005867;ZNF876P
feature 418165;cg04546616;SECTM1
feature 287088;cg00356723;NAA40
feature 303474;cg08620636;TIGAR
feature 434544;cg02981989;OR7A5
feature 385394;cg05389731;BCAR1
feature 287100;cg26931872;NAA40
feature 303480;cg15002721;FGF23
feature 24959;cg24440854;DPYD
feature 287109;cg11338389;COX8A
feature 336260;cg23332501;null
feature 369030;cg16086130;ALDH1A3
feature 41347;cg10108237;ESRRG
feature 369024;cg19224278;ALDH1A3
feature 139655;cg16464045;TMED7-TICAM2
feature 123273;cg00486259;SH3D19
feature 401807;cg10547969;null
feature 90504;cg13908523;PRKCD
feature 172424;cg00850756;CCND3
feature 450957;cg08686311;FAM110A
feature 303496;cg10155026;FGF6
feature 369033;cg26333136;ALDH1A3
feature 467339;cg08649919;CABIN1
feature 369032;cg26509022;ALDH1A3
feature 385418;ch.16.1711323F;CFDP1
feature 401812;cg01431140;null
feature 352663;cg09578794;null
feature 57746;cg06215035;TIA1
feature 450965;cg08137888;FAM110A
feature 270737;cg02512540;TCERG1L
feature 270738;cg12074485;TCERG1L
feature 401808;cg06135689;null
feature 221589;cg03654169;CTSB
feature 434591;cg18721420;CCDC105
feature 156061;cg06532268;null
feature 467367;cg06889422;GGT5
feature 401828;cg23829518;null
feature 74147;cg08217411;null
feature 106914;cg23536681;null
feature 270752;cg07810282;TCERG1L
feature 41383;cg00256046;ESRRG
feature 434593;cg02241330;CCDC105
feature 450988;cg13287312;RSPO4
feature 90541;cg07077209;TKT
feature 467370;cg15448245;GGT5
feature 156076;cg22865713;SLC17A4
feature 385460;cg07449094;CHST6
feature 418228;cg03496114;null
feature 270780;cg19256291;null
feature 172473;cg11414345;C6orf132
feature 303545;cg24337818;DYRK4
feature 156093;cg07061783;null
feature 188866;cg03143486;DNAAF5
feature 385477;cg10031989;null
feature 156096;cg03517284;null
feature 57796;cg26253134;TGFA
feature 74180;cg07605229;MAP2
feature 106948;cg00888154;PIGG
feature 25030;cg19365673;PLPPR5
feature 156100;cg08278435;SLC17A2
feature 238034;cg04745771;EPPK1
feature 270806;cg20586076;null
feature 74194;cg13347071;UNC80
feature 270800;cg23484230;null
feature 8660;cg14373380;ZBTB17
feature 172500;cg19489494;GUCA1A
feature 188884;cg25062951;DNAAF5
feature 254421;cg27624334;null
feature 483793;cg22969541;MTM1
feature 270812;cg24344693;null
feature 319964;cg09338032;null
feature 467422;cg12492885;ADORA2A-AS1
feature 418269;cg07531398;OGFOD3
feature 467419;cg03364108;ADORA2A-AS1
feature 385498;cg03858460;CHST5
feature 8671;cg05399872;ZBTB17
feature 434663;cg02294312;NOTCH3
feature 303590;cg02722637;KCNA6
feature 483811;cg03056849;MTMR1
feature 74212;cg19053250;UNC80
feature 123366;cg20844619;null
feature 221668;cg18999641;null
feature 270830;cg25524464;null
feature 401900;cg14754787;LHX1
feature 270824;cg25460281;null
feature 156142;cg05816193;HIST1H1A
feature 401897;cg02633371;LHX1
feature 123374;cg01653942;null
feature 106990;cg07264634;null
feature 270836;cg23147393;null
feature 434677;cg01643250;NOTCH3
feature 205302;cg09803262;DLX6-AS1
feature 188916;cg22881834;null
feature 401904;cg03323462;null
feature 90615;cg17184165;CHDH
feature 172533;cg10013121;TRERF1
feature 221691;cg07467338;FAM66D
feature 369148;cg16275295;null
feature 336379;cg16551349;null
feature 303610;cg03929977;KCNA1
feature 418296;cg27561875;OGFOD3
feature 303611;cg15543616;KCNA1
feature 8703;cg06947191;C1orf64
feature 352773;cg15830544;null
feature 270852;cg07009981;null
feature 451078;cg03037969;SNPH
feature 139777;cg14501548;null
feature 320007;cg16065768;null
feature 172550;cg26581228;TRERF1
feature 74246;cg13365641;KANSL1L
feature 254475;cg14604700;null
feature 8712;cg21214613;HSPB7
feature 451082;cg07236812;SNPH
feature 352779;cg13819319;null
feature 139789;cg24870967;SEMA6A
feature 336405;cg11116200;null
feature 8722;cg06521827;HSPB7
feature 270871;cg00580715;null
feature 401939;cg14336501;null
feature 303634;cg17653824;KCNA5
feature 8727;cg14742211;CLCNKA
feature 369170;cg25731553;null
feature 320019;cg05513274;null
feature 123416;cg23630867;null
feature 221721;cg06872010;FAM66A
feature 41499;cg13285637;TGFB2
feature 320031;cg20578159;null
feature 434714;cg14556683;EPHX3
feature 467481;cg12444390;LRRC75B
feature 270874;cg00128695;null
feature 352795;cg14543641;null
feature 270875;cg17227726;null
feature 483874;cg05259868;GPR50
feature 41510;cg16967578;TGFB2
feature 270883;cg15003570;null
feature 205355;cg22616881;DLX6-AS1
feature 107051;cg01052636;PDE6B
feature 238120;cg07531549;null
feature 205359;cg02530022;DLX6-AS1
feature 418346;cg11952344;HEXDC
feature 385577;cg07649992;null
feature 254511;cg02363677;SVIL
feature 434731;cg08545132;BRD4
feature 74284;cg08400511;LANCL1
feature 205361;cg20109856;DLX6-AS1
feature 254512;cg11801524;SVIL
feature 385585;cg09966303;CNTNAP4
feature 25142;cg14022530;SASS6
feature 57910;cg25413843;VAX2
feature 303667;cg14415456;null
feature 434737;cg07461795;BRD4
feature 90680;cg01296889;null
feature 205375;cg04694035;null
feature 238142;cg21550172;null
feature 385595;cg03738936;null
feature 401977;cg00276752;ACACA
feature 238140;cg02010752;null
feature 205380;cg20189244;null
feature 172623;cg15435046;TBCC
feature 451145;cg11934819;SIRPB2
feature 451159;cg26616780;SIRPB1
feature 123474;cg04463713;FHDC1
feature 451157;cg17423978;SIRPD
feature 270929;cg23510313;null
feature 451166;cg03745414;SIRPG
feature 254555;cg13324103;SVIL
feature 123480;cg01189011;FHDC1
feature 451162;cg02198625;SIRPB1
feature 418395;cg04308225;null
feature 320089;cg15466176;null
feature 451160;cg27365103;SIRPB1
feature 8799;cg23237801;EPHA2
feature 451178;cg03988957;null
feature 270952;cg02265810;PPP2R2D
feature 189036;cg24902995;null
feature 189037;cg24046689;null
feature 402035;cg27218536;SYNRG
feature 254582;cg15574316;null
feature 254581;cg02987618;null
feature 238197;cg01228685;null
feature 336498;cg24567598;null
feature 90744;cg23516560;CACNA2D3
feature 303742;cg26213458;ANO2
feature 74365;cg18303608;null
feature 90748;cg19003066;CACNA2D3
feature 451193;cg14424538;null
feature 41600;cg05155775;SLC30A10
feature 336516;cg20985453;null
feature 369284;cg08076924;PCSK6
feature 90755;cg25214305;CACNA2D3
feature 139905;cg26084796;DMXL1
feature 434821;cg11697861;WIZ
feature 172678;cg13973639;C6orf226
feature 189063;cg22562051;null
feature 238213;cg00886954;null
feature 41606;cg01971120;null
feature 90758;cg01368219;CACNA2D3
feature 221828;cg01028360;KIAA1456
feature 41608;cg24071007;EPRS
feature 107151;cg25510614;MFSD7
feature 238220;cg06029935;null
feature 483991;cg11428427;MIR105-2
feature 238224;cg01242619;null
feature 336528;cg16541998;null
feature 238229;cg22259293;null
feature 172698;cg16656493;PTCRA
feature 336541;cg07879681;null
feature 189082;cg23896431;ADAP1
feature 320158;cg05555207;TBX5
feature 172697;cg03143118;PTCRA
feature 320153;cg05769349;TBX5
feature 402075;cg03348978;HNF1B
feature 172701;cg08246318;null
feature 336538;cg05338434;null
feature 156322;cg05261549;HIST1H2BD
feature 25250;cg04098985;EXTL2
feature 238245;cg21415682;GRINA
feature 434857;cg18763911;WIZ
feature 221878;cg08148801;DLC1
feature 418481;cg20710824;FOXK2
feature 41655;cg26570574;RAB3GAP2
feature 385726;cg06095115;CLEC3A
feature 205502;cg05950713;null
feature 254657;cg18222494;MTPAP
feature 369344;cg25863289;TM2D3
feature 434881;cg18652900;PGLYRP2
feature 172751;cg05552183;GNMT
feature 156364;cg08122386;null
feature 303828;cg00459232;CD9
feature 254675;cg01034754;null
feature 369366;cg08277836;null
feature 58068;cg04049556;MPHOSPH10
feature 172756;cg24751129;GNMT
feature 369373;cg03400264;null
feature 434910;cg13525067;CYP4F22
feature 172760;cg03798940;PEX6
feature 467677;cg18852857;ADRBK2
feature 8923;cg24599859;SZRD1
feature 402138;cg15251212;SOCS7
feature 336601;cg23197628;null
feature 336600;cg13726563;null
feature 221923;cg00933411;DLC1
feature 402149;cg14783471;null
feature 369377;cg26155802;OR4F6
feature 484067;cg24627956;null
feature 336609;cg02337614;null
feature 467682;cg05278256;MYO18B
feature 303842;cg04057956;CD9
feature 107238;cg17265115;PCGF3
feature 205547;cg08288383;null
feature 385772;cg09437479;WWOX
feature 303854;cg06599949;null
feature 467693;cg16605942;SEZ6L
feature 156392;cg16282993;HIST1H4E
feature 74474;cg01839430;ATIC
feature 336622;cg01125141;null
feature 369384;cg07695475;OR4F15
feature 254701;cg25182066;MAP3K8
feature 172786;cg11668638;PPP2R5D
feature 221939;cg18015393;null
feature 467700;cg12636835;SEZ6L
feature 25336;cg24393673;OLFM3
feature 205562;cg18231184;LMTK2
feature 320254;cg00347620;TBX3
feature 336632;cg21218053;null
feature 123654;cg09760963;RNF175
feature 271107;cg17892680;null
feature 434957;cg06718003;OR10H3
feature 402184;cg23367339;ARHGAP23
feature 451337;cg13236659;ZNF343
feature 287509;cg07400246;ESRRA
feature 336663;cg25247122;null
feature 254737;cg05775862;null
feature 25362;cg20847625;COL11A1
feature 484114;cg24328927;PNMA3
feature 320275;cg08330778;TBX3
feature 418577;cg06483621;null
feature 353053;cg15912732;AKT1
feature 451359;cg13965328;TMC2
feature 402204;cg01564268;ARHGAP23
feature 271128;cg16635945;null
feature 123676;cg25775322;SFRP2
feature 8991;cg19626158;null
feature 90910;cg24436196;ERC2
feature 140066;cg10911283;FTMT
feature 238370;cg19978055;WDR97
feature 156449;cg10638657;HIST1H1D
feature 369446;cg01422009;MPG
feature 41763;cg14660726;null
feature 8999;cg05334554;null
feature 385837;cg02648064;null
feature 303916;cg16846069;SCNN1A
feature 484139;cg07395724;null
feature 90925;cg04517960;ERC2
feature 369448;cg16383109;MPG
feature 287540;cg22663489;CCDC88B
feature 74547;cg05890855;null
feature 140081;cg08853571;SRFBP1
feature 451378;cg11389889;NOP56
feature 58166;cg07138437;DYSF
feature 74553;cg22877504;MREG
feature 336703;cg18541254;null
feature 172862;cg25998680;PTK7
feature 369465;cg05791870;null
feature 74556;cg10820936;MREG
feature 336696;cg06793796;null
feature 172860;cg00252032;PTK7
feature 402246;cg06342195;SRCIN1
feature 271172;cg20627988;JAKMIP3
feature 336708;cg03227021;null
feature 435012;cg18812944;CYP4F11
feature 123716;cg00517787;null
feature 41801;cg17852326;HLX
feature 189262;cg07131210;CYP2W1
feature 123724;cg01450725;null
feature 402248;cg14424407;SRCIN1
feature 254802;cg16134399;null
feature 58193;cg00828836;null
feature 320341;cg21045464;null
feature 140115;cg05008688;ZNF474
feature 336726;cg21186708;null
feature 238423;cg14185547;BOP1
feature 271185;cg16187013;JAKMIP3
feature 287569;cg20139338;CCDC88B
feature 484177;cg08818224;null
feature 418655;cg16094026;TBCD
feature 140123;cg02658668;null
feature 140120;cg14122403;null
feature 303967;cg22036538;CD27
feature 484186;cg04960964;null
feature 254819;cg00520933;ZEB1
feature 418662;cg12605273;TBCD
feature 484199;cg13397331;null
feature 385892;cg05451730;null
feature 41826;cg08923271;null
feature 418658;cg08999812;TBCD
feature 222054;cg05883219;null
feature 287587;cg21563192;RPS6KA4
feature 303982;cg24131538;TAPBPL
feature 140136;cg21984150;SNCAIP
feature 435053;cg27377863;TPM4
feature 9067;cg15449560;null
feature 41835;cg16137147;null
feature 271208;cg25534226;JAKMIP3
feature 107373;cg13809270;null
feature 222061;cg09938978;ZDHHC2
feature 107374;cg21304234;null
feature 41842;cg26047066;null
feature 402290;cg04544699;null
feature 172917;cg25687423;DNPH1
feature 467824;cg07499241;MIAT
feature 254836;cg00139244;ZEB1
feature 369532;cg10647513;HBA1
feature 451451;cg07113642;CPXM1
feature 271235;cg17893426;JAKMIP3
feature 41864;cg27518240;C1orf140
feature 9099;cg27544000;ESPNP
feature 385928;cg08785985;null
feature 418697;cg18699524;TBCD
feature 189328;cg20821713;C7orf50
feature 41875;cg14201387;null
feature 336784;cg16907101;null
feature 369552;cg04958271;LUC7L
feature 402330;cg18973632;CISD3
feature 418715;cg22633247;TBCD
feature 336795;cg15415452;null
feature 336794;cg02742906;null
feature 385957;cg27614280;CENPN
feature 140192;cg14367485;SNX24
feature 222112;cg04792712;MTMR7
feature 369569;cg26713125;FAM234A
feature 9125;cg10966582;MST1L
feature 107428;cg02582997;GAK
feature 9127;cg04365481;MST1L
feature 58279;cg17560967;EXOC6B
feature 41895;cg08708209;DUSP10
feature 123817;cg01511232;null
feature 320429;cg10988075;null
feature 402349;cg18896448;PCGF2
feature 418730;cg27658601;TBCD
feature 304053;cg06362313;GAPDH
feature 484278;cg25129414;null
feature 205745;cg15750986;NPTX2
feature 74677;cg27140880;RPL37A
feature 123828;cg23676439;LRAT
feature 353203;cg04725566;AHNAK2
feature 385970;cg08384322;C16orf46
feature 172985;cg11806084;SLC22A7
feature 107453;cg16931447;GAK
feature 287672;cg06046344;SLC22A11
feature 9150;cg07564869;null
feature 91071;cg05963604;APPL1
feature 336833;cg21418534;null
feature 222148;cg16800975;PDGFRL
feature 369609;cg01155930;RGS11
feature 304085;cg24853956;IFFO1
feature 205778;cg11553793;TMEM130
feature 41940;cg16724720;null
feature 140245;cg19265970;PRDM6
feature 304083;cg12024104;IFFO1
feature 205784;cg19974428;TMEM130
feature 418777;cg04099036;TBCD
feature 123870;cg03202738;NPY2R
feature 58338;cg04965934;EMX1
feature 156640;cg08882171;null
feature 91107;cg13537974;PDE12
feature 189409;cg00285294;C7orf50
feature 386017;cg26781524;BCO1
feature 287713;cg27466845;NRXN2
feature 336867;cg19188899;null
feature 320493;cg07091934;MED13L
feature 58348;cg13656408;EMX1
feature 418794;cg11140875;TBCD
feature 320489;cg19374430;MED13L
feature 74734;cg05903386;IGFBP5
feature 58353;cg08461546;SFXN5
feature 58355;cg24803346;SFXN5
feature 140273;cg00129563;PRDM6
feature 41972;cg08942016;HHIPL2
feature 123892;cg04595983;MAP9
feature 140276;cg01196322;PRDM6
feature 173044;cg18683047;DLK2
feature 418814;cg17852482;TBCD
feature 123901;cg27179353;null
feature 271354;cg16652747;STK32C
feature 173053;cg18587484;TJAP1
feature 287745;cg03263716;NRXN2
feature 123910;cg03719283;GUCY1A3
feature 435214;cg02010894;CHERP
feature 484366;cg20765985;SLC6A8
feature 222218;cg16008221;PCM1
feature 467980;cg26306411;XBP1
feature 304136;cg09832244;LPAR5
feature 9228;ch.1.587982R;CROCC
feature 107532;cg20587196;GAK
feature 418824;cg07099000;TBCD
feature 140300;cg05692123;null
feature 418839;cg05398905;TBCD
feature 156694;cg15659132;null
feature 336927;cg25708982;null
feature 287775;cg16527223;NRXN2
feature 271386;cg16014906;STK32C
feature 222236;cg19938277;ASAH1
feature 369701;cg08577231;AXIN1
feature 336932;cg03797537;null
feature 336935;cg03609024;null
feature 451619;cg01158679;LZTS3
feature 140324;cg07849972;CEP120
feature 74790;ch.2.217484879F;null
feature 353314;cg15540371;null
feature 205864;cg13821173;TRRAP
feature 336939;cg23821359;null
feature 74803;cg12674975;null
feature 222256;cg07470176;NAT1
feature 386099;cg02547035;CMIP
feature 58422;cg10522577;null
feature 156730;cg06515771;null
feature 189498;cg19723715;GPER1
feature 336954;cg25369070;null
feature 91198;cg03479209;FLNB
feature 402498;cg16864825;null
feature 418882;cg16218516;TBCD
feature 74829;cg18309255;DIRC3
feature 58446;cg01329511;SMYD5
feature 353367;cg15421321;JAG2
feature 156759;cg19035107;null
feature 205910;cg18564971;SMURF1
feature 386140;cg02597246;CMIP
feature 402525;cg05979264;PLXDC1
feature 287833;cg02800396;SF1
feature 123996;cg18688704;PDGFC
feature 402520;cg15246989;PLXDC1
feature 123999;cg09848659;PDGFC
feature 9315;cg07319459;null
feature 353382;cg27656486;JAG2
feature 140390;cg15392124;null
feature 42085;cg12095594;TLR5
feature 58473;cg26478621;CCT7
feature 418925;cg08759238;TBCD
feature 255080;cg03442322;NRP1
feature 386153;cg10191399;CMIP
feature 173164;cg20582800;RSPH9
feature 156787;cg02287436;LINC00240
feature 42102;cg07015886;TLR5
feature 140408;cg05917419;ZNF608
feature 25723;cg16797831;KIAA1324
feature 42111;cg22158547;SUSD4
feature 451719;cg07831351;null
feature 402562;cg23415212;CACNB1
feature 25733;cg02896776;SARS
feature 91271;cg23715586;RPP14
feature 74890;cg05386769;TNS1
feature 468104;cg15383276;RASL10A
feature 189586;cg22907277;C7orf50
feature 468118;cg23754382;RASL10A
feature 386193;cg03147430;PLCG2
feature 222358;cg17202879;null
feature 386194;cg05684569;PLCG2
feature 74907;cg12731010;TNS1
feature 140446;cg23105586;null
feature 107676;cg15769764;IDUA
feature 287897;cg06250751;CDC42BPG
feature 271515;cg11579421;PWWP2B
feature 402597;cg20207470;null
feature 222375;cg22853797;SH2D4A
feature 369826;cg05947422;RAB11FIP3
feature 42152;cg25138649;CAPN8
